,valence,artists,count,popularity
0,0.3895,"""Cats"" 1981 Original London Cast",9,38.333333333333336
1,0.2688653846153846,"""Cats"" 1983 Broadway Cast",26,30.57692307692308
2,0.3548571428571429,"""Fiddler On The Roof” Motion Picture Chorus",7,34.857142857142854
3,0.3720296296296296,"""Fiddler On The Roof” Motion Picture Orchestra",27,34.85185185185185
4,0.4822857142857143,"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast",7,43.0
5,0.4415555555555557,"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast",36,32.77777777777778
6,0.885,"""Mama"" Helen Teagarden",2,0.0
7,0.902,"""Test for Victor Young""",2,3.0
8,0.7513442622950824,"""Weird Al"" Yankovic",122,34.22950819672131
9,0.4807,$NOT,15,67.53333333333333
10,0.871,$atori Zoom,2,67.0
11,0.266,$pyda,1,59.0
12,0.6255000000000001,$tupid Young,2,57.5
13,0.2872856,$uicideBoy$,125,61.8
14,0.4675384615384614,'In The Heights' Original Broadway Company,13,47.69230769230769
15,0.5247777777777778,'Legally Blonde' Ensemble,9,48.66666666666666
16,0.5965,'Legally Blonde' Greek Chorus,2,48.0
17,0.532625,'Til Tuesday,16,34.625
18,0.208,((( O ))),2,67.0
19,0.873,(Con La Participación de Marc Anthony),2,43.0
20,0.3750000000000001,(G)I-DLE,4,79.25
21,0.4270000000000001,(Hed) P.E.,10,45.8
22,0.5647809523809525,*NSYNC,105,45.371428571428574
23,0.39125,+44,8,43.5
24,0.237,...And You Will Know Us by the Trail of Dead,2,36.0
25,0.336,...Bender,2,42.0
26,0.3728571428571428,03 Greedo,7,59.28571428571429
27,0.287,070 Shake,1,63.0
28,0.743,10 Ft. Ganja Plant,2,50.0
29,0.3287142857142857,10 Years,14,48.71428571428572
30,0.5738095238095238,"10,000 Maniacs",42,37.0
31,0.78125,100 gecs,4,68.0
32,0.391525,101 Strings Orchestra,16,27.0
33,0.555,10cc,38,41.578947368421055
34,0.708,11/5,2,37.0
35,0.5511666666666667,112,48,50.16666666666666
36,0.195,12 Pianists,2,52.0
37,0.4506666666666666,12 Stones,12,50.5
38,0.7645,13th Floor Elevators,8,31.75
39,0.6583333333333333,1422,6,32.0
40,0.5940000000000001,1776 Ensemble,2,23.0
41,0.222,1776 Orchestra,1,19.0
42,0.8995,1910 Fruitgum Company,8,24.25
43,0.8348888888888888,1986 Omega Tribe,18,38.22222222222222
44,0.84,1way Frank,2,56.0
45,0.6895,2 Brothers On The 4th Floor,4,59.5
46,0.4968204724409447,2 Chainz,127,57.0236220472441
47,0.382,2 Crows,2,0.0
48,0.962,2 Guys n the Parque,2,47.0
49,0.63,2 Hyped Brothers & A Dog,2,30.0
50,0.8490000000000001,2 In A Room,2,29.0
51,0.6103333333333334,2 LIVE CREW,42,35.80952380952381
52,0.2689999999999999,2 Pistols,1,51.0
53,0.7685,2 Unlimited,8,55.75
54,0.897,2* Sweet,2,45.0
55,0.8216666666666667,20 Fingers,3,56.33333333333334
56,0.25,20-2-Life,2,33.0
57,0.5770000000000001,20/20,2,27.0
58,0.0633333333333333,2002,6,48.33333333333334
59,0.4055,2004 Hawaii Music Awards Compilation Of The Year,8,1.25
60,0.621,2014 ATHINAIKI DISCOGRAFIKI,2,0.0
61,0.6326666666666667,20th Century Fox Studio Orchestra,6,0.0
62,0.3382112359550562,21 Savage,89,67.01123595505618
63,0.659,"22, Little Red, Tangle Eye & Hard Hair",1,16.0
64,0.515,220 Volt,2,0.0
65,0.5379999999999999,22Gz,2,70.0
66,0.963,24 Horas,2,44.0
67,0.34,24hrs,4,66.5
68,0.5452526315789473,24kGoldn,19,74.26315789473685
69,0.487,27CLUB,2,68.0
70,0.355,2Baba,2,0.0
71,0.6005,2CELLOS,4,59.0
72,0.402,2KBABY,4,69.5
73,0.5900000000000001,2NE1,6,58.66666666666666
74,0.779,2PM,2,48.0
75,0.607426470588235,2Pac,272,49.125
76,0.861,2Pac a.k.a. Makaveli,1,42.0
77,0.0412,2WEI,1,75.0
78,0.4420000000000001,2nd Chapter Of Acts,4,28.5
79,0.0412,2nd Generation Outlawz,1,0.0
80,0.7662857142857143,2nd II None,7,35.142857142857146
81,0.6225,2nd South Carolina String Band,4,41.0
82,0.349,2toxic,1,16.0
83,0.4518235294117645,3 Doors Down,51,50.01960784313725
84,0.237,3 Inches Of Blood,2,46.0
85,0.547,3 in One,2,0.0
86,0.6185773584905657,311,106,40.45283018867924
87,0.764,347aidan,2,77.0
88,0.7040000000000001,35MM: A Musical Exhibition Original Cast,2,54.0
89,0.8140000000000001,36 Crazyfists,2,53.0
90,0.7784615384615388,38 Special,78,32.7948717948718
91,0.8584999999999999,3BallMTY,2,55.0
92,0.286,3LAU,1,52.0
93,0.6678,3LW,5,49.4
94,0.54965,3OH!3,20,53.95
95,0.4793333333333334,3T,3,45.33333333333334
96,0.49,3X Krazy,2,46.0
97,0.6503333333333333,3rd Bass,6,28.33333333333333
98,0.3939999999999999,3rd Strike,2,38.0
99,0.8114999999999999,3年E組うた担(渚&茅野&業&磯貝&前原),4,59.5
100,0.4461666666666666,4 Non Blondes,12,48.33333333333334
101,0.348,4 P.M.,2,37.0
102,0.4985000000000001,4 Skins,4,33.5
103,0.267,4 Strings,2,57.0
104,0.455,40 Thevz,2,52.0
105,0.3396666666666667,42 Dugg,9,69.22222222222223
106,0.362,42nd Street Ensemble,2,4.0
107,0.6477499999999999,45 Grave,8,30.5
108,0.152,4509 STARPASS Prodcutions,2,0.0
109,0.3116666666666666,4Him,6,33.666666666666664
110,0.624,4Minute,2,61.0
111,0.5209384615384616,5 Seconds of Summer,65,61.01538461538462
112,0.5897696629213492,50 Cent,178,52.34269662921349
113,0.4965,50 Guitars of Tommy Garrett,12,25.66666666666667
114,0.532,504 Boyz,4,47.5
115,0.0,520Hz,2,57.0
116,0.7225,54-40,4,42.0
117,0.599,5th Ward Boyz,1,36.0
118,0.3279999999999999,6 Dogs,2,66.0
119,0.6795,69 Boyz,8,41.75
120,0.3088956521739131,6LACK,46,63.8695652173913
121,0.47,6cyclemind,4,57.5
122,0.4553846153846154,6ix9ine,26,69.30769230769229
123,0.794,7 Aurelius,2,51.0
124,0.369,7 FN,2,63.0
125,0.3979999999999999,7 Seconds,2,31.0
126,0.708,7 Year Bitch,2,41.0
127,0.5900000000000001,702,9,52.11111111111112
128,0.599,707,2,25.0
129,0.975,8-Bit Arcade,2,48.0
130,0.5025,808 State,4,42.0
131,0.5,88-Keys,2,54.0
132,0.594,88GLAM,2,68.0
133,0.3853333333333333,88rising,6,69.83333333333333
134,0.5390769230769231,8Ball,13,42.53846153846154
135,0.6019000000000001,8Ball & MJG,30,37.23333333333333
136,0.389,8father,1,60.0
137,0.176,904TEZZO,2,57.0
138,0.14,90sFlav,2,70.0
139,0.268,916frosty,2,66.0
140,0.4589999999999999,93FEETOFSMOKE,1,66.0
141,0.954,94 East,1,31.0
142,0.4277499999999999,98º,20,49.0
143,0.65,99 Neighbors,1,62.0
144,0.687,99 Percent,2,59.0
145,0.5146666666666667,999,6,33.666666666666664
146,0.521,9lokknine,6,67.66666666666667
147,0.345,9tails,2,66.0
148,0.5295,9th Wonder,4,51.0
149,0.8058888888888887,? & The Mysterians,18,25.11111111111111
150,0.779,?uestlove,2,39.0
151,0.5007333333333335,A Boogie Wit da Hoodie,75,66.64
152,0.5820000000000001,A Certain Ratio,4,27.5
153,0.4588269230769233,A Day To Remember,104,53.42307692307693
154,0.414,A Few Good Men,2,29.0
155,0.1669999999999999,A Fine Frenzy,2,54.0
156,0.6970476190476189,A Flock Of Seagulls,42,41.90476190476191
157,0.253,A Foot In Coldwater,2,33.0
158,0.2272499999999999,A Great Big World,8,59.125
159,0.657,A Guy Called Gerald,2,48.0
160,0.4379999999999999,A Heart Beats,2,37.0
161,0.479,A Jam Session At Victor,2,3.0
162,0.316,A L E X,3,62.66666666666666
163,0.96,A Look At Yesterday,1,47.0
164,0.256277966101695,A Perfect Circle,59,49.47457627118644
165,0.474,A Priori,2,0.0
166,0.228,A R I Z O N A,6,66.33333333333333
167,0.3413333333333333,A Rocket To The Moon,6,59.33333333333334
168,0.306,A Skylit Drive,8,45.0
169,0.37,A Static Lullaby,2,48.0
170,0.7490000000000001,A Taste Of Honey,8,45.75
171,0.473,A Thousand Horses,4,62.0
172,0.605,A Touch Of Class,4,63.75
173,0.6446666666666666,A Tree Grows in Brooklyn Ensemble,3,0.3333333333333333
174,0.2689999999999999,A Tree Grows in Brooklyn Orchestra,1,1.0
175,0.6872279411764705,A Tribe Called Quest,136,46.06617647058823
176,0.583,A Tribe Called Red,2,52.0
177,0.0498,A Winged Victory for the Sullen,2,46.0
178,0.5920000000000001,A$AP ANT,1,59.0
179,0.4112441176470587,A$AP Ferg,34,61.55882352941178
180,0.4910000000000001,A$AP Mob,9,59.22222222222222
181,0.6190000000000001,A$AP NAST,3,55.0
182,0.39188125,A$AP Rocky,96,63.39583333333334
183,0.56775,A$AP Twelvyy,4,55.25
184,0.7890000000000001,A*Teens,6,45.33333333333334
