userid,gender,age,country
1,Male,79,Japan
2,Female,52,Australia
3,Male,69,France
4,Female,64,Germany
5,Male,74,Australia
6,Female,58,United Kingdom
7,Female,31,Japan
8,Female,52,United Kingdom
9,Male,28,United States
10,Male,39,China
11,Male,46,China
12,Male,31,Australia
13,Female,21,Spain
14,Male,61,Germany
15,Male,19,Canada
16,Male,67,United States
17,Male,24,United Kingdom
18,Male,75,Canada
19,Male,59,Japan
20,Male,56,China
21,Female,24,Japan
22,Female,44,Australia
23,Male,68,United Kingdom
24,Female,73,United Kingdom
25,Male,44,Japan
26,Male,27,Australia
27,Male,65,United States
28,Female,32,United States
29,Male,43,Japan
30,Male,26,United States
31,Male,46,United States
32,Male,50,Italy
33,Male,34,France
34,Male,35,Japan
35,Male,58,Japan
36,Female,41,United Kingdom
37,Male,60,Germany
38,Male,56,Italy
39,Male,65,Canada
40,Male,62,Germany
41,Female,56,China
42,Male,18,Italy
43,Male,67,Germany
44,Female,46,Japan
45,Female,60,United Kingdom
46,Male,51,Japan
47,Female,75,Italy
48,Female,20,France
49,Female,78,Japan
50,Female,77,Spain
51,Male,38,United States
52,Female,63,Japan
53,Male,35,Italy
54,Female,54,Canada
55,Male,73,Italy
56,Female,67,France
57,Male,58,Canada
58,Male,62,Canada
59,Female,31,United States
60,Female,67,Italy
61,Female,42,France
62,Female,52,Japan
63,Male,21,Japan
64,Female,72,Japan
65,Male,42,France
66,Female,38,Australia
67,Female,79,Canada
68,Male,29,China
69,Female,24,Spain
70,Male,21,China
71,Female,49,Spain
72,Male,20,China
73,Male,25,Canada
74,Male,75,Japan
75,Female,62,China
76,Male,40,Canada
77,Male,76,Spain
78,Female,22,Canada
79,Female,37,United States
80,Male,49,Italy
81,Female,78,France
82,Female,33,China
83,Male,64,Germany
84,Female,72,Germany
85,Female,24,China
86,Male,43,China
87,Male,58,Italy
88,Male,72,Spain
89,Male,49,Japan
90,Female,41,Japan
91,Male,20,Italy
92,Male,36,France
93,Female,48,United Kingdom
94,Male,47,Canada
95,Female,20,United Kingdom
96,Male,64,United States
97,Female,47,Japan
98,Female,30,Germany
99,Female,69,Australia
100,Male,26,Japan
101,Male,53,Germany
102,Female,24,Australia
103,Female,76,United Kingdom
104,Female,59,Australia
105,Male,45,Italy
106,Female,58,Italy
107,Male,29,Canada
108,Female,43,China
109,Female,57,Canada
110,Male,58,China
111,Male,24,China
112,Male,33,Australia
113,Female,18,United Kingdom
114,Female,35,Australia
115,Male,79,United Kingdom
116,Male,50,Italy
117,Female,60,China
118,Female,42,Canada
119,Male,34,China
120,Male,55,Canada
121,Male,38,United States
122,Female,75,Australia
123,Female,65,China
124,Female,33,France
125,Female,74,Germany
126,Male,80,Spain
127,Male,23,United States
128,Male,58,China
129,Female,68,Japan
130,Male,27,Italy
131,Female,38,Spain
132,Female,71,Germany
133,Male,29,Germany
134,Male,29,Canada
135,Female,34,Japan
136,Male,53,United States
137,Male,58,France
138,Female,60,United Kingdom
139,Female,21,Italy
140,Male,30,Canada
141,Male,80,Spain
142,Female,23,Japan
143,Female,40,Japan
144,Female,75,Canada
145,Female,41,France
146,Male,31,Australia
147,Female,30,Italy
148,Male,24,Spain
149,Female,24,Germany
150,Female,22,China
151,Male,77,Spain
152,Male,71,United Kingdom
153,Female,41,United Kingdom
154,Female,43,France
155,Male,59,United Kingdom
156,Male,32,United Kingdom
157,Female,75,China
158,Female,41,United States
159,Male,59,Canada
160,Female,62,France
161,Female,78,United Kingdom
162,Male,23,Spain
163,Male,19,Italy
164,Female,71,United Kingdom
165,Female,60,Spain
166,Female,77,United Kingdom
167,Male,32,Canada
168,Male,27,Japan
169,Male,52,France
170,Male,68,Japan
171,Female,54,Japan
172,Female,34,Canada
173,Female,57,United Kingdom
174,Female,38,Japan
175,Female,19,China
176,Male,57,United Kingdom
177,Female,76,Germany
178,Male,31,Italy
179,Female,49,Italy
180,Female,30,Australia
181,Female,80,China
182,Female,26,Japan
183,Male,57,France
184,Female,33,Australia
185,Female,24,United States
186,Female,58,Italy
187,Female,70,China
188,Male,33,China
189,Female,27,China
190,Female,32,Japan
191,Male,79,Japan
192,Male,38,Italy
193,Male,28,China
194,Female,43,China
195,Female,68,United States
196,Male,46,Spain
197,Male,19,France
198,Male,25,Germany
199,Male,66,Italy
200,Female,21,China
201,Male,40,Australia
202,Female,29,Australia
203,Male,31,United States
204,Male,65,Germany
205,Female,56,Australia
206,Male,25,France
207,Female,24,Spain
208,Female,33,France
209,Male,43,United States
210,Female,48,Japan
211,Male,39,Canada
212,Male,66,China
213,Male,30,France
214,Male,58,Italy
215,Female,50,France
216,Female,48,Spain
217,Male,43,Italy
218,Female,43,Japan
219,Female,28,Japan
220,Female,73,Canada
221,Female,66,China
222,Male,37,Germany
223,Female,63,China
224,Male,49,China
225,Female,24,Spain
226,Female,47,United States
227,Female,71,United Kingdom
228,Female,32,Canada
229,Male,24,United States
230,Female,61,United Kingdom
231,Male,36,Canada
232,Male,31,United Kingdom
233,Female,30,France
234,Male,71,Italy
235,Female,44,Italy
236,Female,54,Australia
237,Female,41,France
238,Male,45,Australia
239,Male,71,Germany
240,Female,46,China
241,Female,77,France
242,Female,39,Japan
243,Male,50,Canada
244,Male,55,France
245,Male,67,Australia
246,Male,25,United Kingdom
247,Male,78,Australia
248,Male,46,Spain
249,Female,29,China
250,Male,35,Australia
251,Male,28,France
252,Male,72,Japan
253,Female,69,Germany
254,Male,78,Australia
255,Female,49,Germany
256,Female,26,Spain
257,Male,21,China
258,Female,21,United Kingdom
259,Male,27,Australia
260,Male,76,Spain
261,Male,66,China
262,Male,37,United Kingdom
263,Female,35,Germany
264,Male,74,China
265,Male,64,Spain
266,Female,58,Germany
267,Male,74,Spain
268,Female,35,United Kingdom
269,Male,32,Italy
270,Female,53,Germany
271,Female,58,Australia
272,Female,59,Spain
273,Male,56,France
274,Female,64,United Kingdom
275,Female,75,France
276,Male,33,France
277,Male,47,Italy
278,Female,30,Australia
279,Female,25,Italy
280,Female,64,United Kingdom
281,Female,24,Canada
282,Female,22,China
283,Male,63,Italy
284,Female,80,China
285,Female,64,China
286,Female,76,United States
287,Female,72,Spain
288,Male,35,France
289,Male,52,Japan
290,Male,79,Canada
291,Male,43,Canada
292,Female,79,Japan
293,Female,54,Germany
294,Female,65,Spain
295,Female,42,China
296,Female,29,Germany
297,Male,50,Italy
298,Female,45,China
299,Female,63,Canada
300,Female,35,Italy
301,Female,68,Canada
302,Female,51,Japan
303,Male,43,Italy
304,Male,47,Canada
305,Female,25,Australia
306,Female,55,Australia
307,Male,37,Spain
308,Male,68,Spain
309,Male,66,Canada
310,Male,49,Canada
311,Male,56,Italy
312,Male,65,Germany
313,Male,77,United Kingdom
314,Male,39,Italy
315,Female,56,China
316,Female,41,Japan
317,Female,56,France
318,Male,62,United States
319,Female,73,France
320,Male,74,Italy
321,Male,19,Canada
322,Female,44,United Kingdom
323,Female,59,Spain
324,Male,43,United Kingdom
325,Male,27,Germany
326,Male,20,France
327,Male,22,Spain
328,Male,30,France
329,Male,48,Japan
330,Female,56,Canada
331,Male,66,Spain
332,Male,38,Japan
333,Female,50,Italy
334,Female,72,China
335,Male,55,France
336,Male,68,United States
337,Male,57,United States
338,Male,39,Australia
339,Male,49,United States
340,Male,25,Japan
341,Male,49,Australia
342,Male,27,United Kingdom
343,Male,74,Japan
344,Male,46,Canada
345,Female,31,United States
346,Female,60,Germany
347,Female,51,United Kingdom
348,Male,35,Australia
349,Male,67,France
350,Female,67,China
351,Male,73,Japan
352,Female,60,China
353,Male,73,United States
354,Male,25,Italy
355,Female,55,China
356,Male,49,Italy
357,Male,29,United States
358,Female,70,China
359,Male,48,United Kingdom
360,Female,78,China
361,Male,73,China
362,Female,48,United Kingdom
363,Male,58,France
364,Female,30,Spain
365,Male,59,Germany
366,Male,63,France
367,Male,27,France
368,Female,20,Canada
369,Male,46,Japan
370,Female,33,Japan
371,Female,47,Spain
372,Male,51,Japan
373,Male,18,Spain
374,Male,26,France
375,Male,50,United States
376,Male,23,United States
377,Female,80,Italy
378,Male,22,China
379,Male,30,Italy
380,Male,60,Italy
381,Male,78,France
382,Female,37,United States
