userid,trackid,genre,listening_time,rating,timestamp,date
526,436,Hip Hop,49,1.5141460800930613,495391572,1985-09-12
775,458,Pop,31,3.0014929311581047,256353452,1978-02-14
844,264,Country,29,3.875226790387708,56627731,1971-10-18
765,210,Pop,0,0.5323382337705351,555962052,1987-08-14
249,23,Electronic,14,4.963183664230662,932566126,1999-07-21
975,336,Country,32,3.958424816040785,435613887,1983-10-21
776,873,Jazz,9,3.0944810797314872,582673402,1988-06-18
525,894,Country,30,3.709979683670473,294659120,1979-05-04
585,900,Rock,24,2.5915557889433516,247888109,1977-11-08
152,590,Blues,53,1.7424890694613415,649914893,1990-08-05
772,18,Pop,0,1.1161208547240598,832913473,1996-05-23
413,57,Hip Hop,21,0.896652879057781,309711277,1979-10-25
149,717,Electronic,52,1.2493486524961528,545368846,1987-04-13
372,390,Latin,5,3.8230015816017584,333887528,1980-07-31
689,590,Rock,54,0.19504079882285807,754901141,1993-12-02
362,79,Electronic,10,3.96337911884327,979400337,2001-01-13
15,316,Pop,24,1.0080913871175117,256986307,1978-02-22
977,912,Latin,30,0.7667850230228512,418696239,1983-04-08
227,409,Jazz,33,4.375804770990647,771252675,1994-06-10
67,586,Jazz,15,3.484380597851495,268504056,1978-07-05
442,651,Blues,53,3.8003580499272234,34715407,1971-02-06
313,773,Blues,34,3.686453646374078,31339049,1970-12-29
841,665,Blues,15,2.124196975850239,48003346,1971-07-10
230,166,Blues,31,0.5690937387020212,679414657,1991-07-13
688,95,Blues,57,2.324680223454158,118152231,1973-09-29
97,374,Classical,50,3.391567879085769,876711659,1997-10-12
518,546,Classical,57,1.2349687657847657,848615261,1996-11-21
631,290,Electronic,24,3.200109733048585,682879737,1991-08-22
43,631,Country,44,4.301089715796023,95545508,1973-01-10
828,359,Classical,42,4.047348575601591,515571209,1986-05-04
328,542,Latin,57,2.409727662633778,911248609,1998-11-16
812,905,Latin,60,1.2345768656885996,546133428,1987-04-22
905,156,Hip Hop,32,2.520709097114597,660060639,1990-12-01
185,274,Electronic,53,0.26832864689619373,761394531,1994-02-16
95,972,Pop,24,3.1719069092681806,169409024,1975-05-15
44,412,Rock,55,0.06476053064726206,291156978,1979-03-24
581,11,Latin,1,2.408780028109663,128576730,1974-01-27
932,283,Jazz,58,4.707361432044469,510223581,1986-03-03
475,329,Pop,0,3.002229098933497,591369393,1988-09-27
542,66,Latin,20,2.5823633971485034,653763219,1990-09-19
403,981,Pop,50,3.5317153979506206,622023489,1989-09-17
998,905,Rock,16,3.8224656135104014,358054071,1981-05-06
641,943,Electronic,14,0.07462303669718118,628872728,1989-12-05
43,316,Blues,20,0.763069602217718,818248239,1995-12-06
191,21,Hip Hop,28,3.2752748440393624,794980941,1995-03-11
527,943,Latin,8,1.9974806194882495,234160558,1977-06-02
383,653,Hip Hop,37,0.8247009428634239,666459960,1991-02-13
214,123,Hip Hop,1,0.3500330432688853,918053816,1999-02-03
906,835,Pop,37,3.038769979321121,993331581,2001-06-23
276,324,Electronic,56,2.9679428406464985,498409883,1985-10-17
250,314,Blues,18,0.6529349292354703,954773504,2000-04-03
757,874,Country,6,3.393567162106323,709184852,1992-06-21
72,841,Classical,53,0.1585084201727921,794845098,1995-03-10
300,277,Electronic,38,3.023844779694281,344136013,1980-11-26
399,17,Rock,42,0.9292664549934998,867951806,1997-07-03
145,598,Country,29,2.0182859903155954,658136996,1990-11-09
245,119,Rock,39,0.9939614056995716,775215757,1994-07-26
804,223,Jazz,32,4.577273989617808,967426401,2000-08-27
170,31,Jazz,49,1.4873979645603548,385716889,1982-03-23
854,793,Hip Hop,43,4.521996144324958,461907394,1984-08-20
