,id,name,com1,com2,Segment K-means PCA
1,7xPhfUan2yNtyFG0cUWkt8,Clancy Lowered the Boom,1.0509056239552605,-2.82188306751003,1
9,08zfJvRLp7pjAb94MA9JmF,Il Etait Syndiqué,1.88189933450167,-2.3852032146309914,1
10,0BMkRpQtDoKjcgzCpnqLNa,Dans La Vie Faut Pas S'en Faire,2.1714105919372466,-0.9091578868485464,1
14,0MJZ4hh60zwsYleWWxT5yW,Power Is Power,-0.6900424419825536,-1.1726962808402102,1
18,0QQmUf4aPFaN9U2yRko595,When We Die,0.33548492211124,-0.6317024417441719,1
19,0QU5xT6Mik4vpyt1ItsRXK,A Ballynure Ballad,2.3628397436934763,-0.7480875083247207,1
20,0QvUUTHYUQQhSXLwffzjL7,Je Suis Toujours La,2.203668844771592,-1.6248075729925802,1
26,0i7MdVu0tNEyUdgpCBilKe,Je M'donne,2.0156822520271436,-0.5174696164481124,1
27,0osXBirvQzPRfKSUDzHPCv,Korkma Sönmez,-0.23505366423116178,-1.2903371559327717,1
28,0qt9g8zf2ZiQhy3FIx89xA,La Victoire De La Madelon,1.638607054160171,-1.5497397265344812,1
31,0yKcdafy64xX9n1ant34Ry,Amurado Me Dejaste - Remasterizado,2.709520633000819,-0.6718677866881805,1
33,107JTiqeqxj5P0ocypagMK,Eşin Var âşiyâ Var,0.6461027216592924,0.28804088014637147,1
34,17gxBcWBIkEFUZA0vN5khu,Bir Zamanlar Bizde Millet,0.643984437514533,-0.2938342804134895,1
35,18BvzCRC1jeAsj1U70YuRy,Overture,2.1569232321752714,-0.8072004582980192,1
38,1RgXfAX9PrSfTKTFvOQxPR,Je N'peux Pas Vivre Sans Amour,1.7825441586020594,-0.7625324060322387,1
40,1T2NGVgAoXjQPEjxTGFRZV,Love for Guns,0.0619357851759541,-0.7274962229483082,1
42,1WOXWCjKZzJJRSMJcrLrK1,Ey Bülbül-i Ter Zebân-i İrf,0.21705609338296214,-0.83355194898357,1
46,1qmXkw1WhSvvIL5IqBnW82,Kasr-ı Gülşen,0.595654628762729,-0.5073152779126141,1
49,1zBcLIHAqpBlL8gAJ5Cxa7,Yâ Râb Bu Uğursuz Gecenin Yok mu Sabahı -,0.823890291962193,0.03842753412454059,1
51,27LYINFAjaKGMWQc6EfAtT,Mis Harapos - Remasterizado,3.029261993681725,-0.9524154454480569,1
55,2EV71z9RFz15SDR8WezEXG,Une Canne Et Des Gants,1.1134944407256515,-2.264073270632076,1
58,2MtcWKwc16dqFqdM7v1WST,Şu Boğaz Harbi Nedir,0.6362094701111883,-0.812221656355608,1
63,2aCCdTBcNmbcplMO66UAvU,Si J'avais Su,2.185197110992043,-0.5204511004792515,1
70,2lgAz3rSTLcqyVj2fJsIzo,Une Femme Qui Passe,1.6940107644155493,-1.4775085531590513,1
77,35eVH8c7u6LGwyksBGMQCp,Sri Kondur,2.897051931703594,-0.7652565301127737,1
79,39ZYlUAoqyE05y7rsfeivo,Pour Bien Reussir Dans La Chaussure,1.9842998020040974,-1.0545659422339975,1
90,3ZlvfjWLxFqfOGK2FTR2ph,Un Agent Courait,2.077350302873025,-1.7616501262105475,1
97,4BWXQSxvAa73YTLVLlMtGp,It's the Same Old Shillelegh,1.0109232838632376,-2.191295181972145,1
98,4Rv29R4ydhHN9tYPfrZxTz,China Hereje - Remasterizado,3.3344567364095337,-1.0384777870028112,1
99,4SU8RBlxrOtlHjkUxkpDCY,Don't Run,-0.24567344367493457,-1.1680377134444644,1
103,4hrY1sE4ZumfoFLYGr6prg,Oui Non,2.4023633593292626,-1.0367606301744245,1
106,4mtn0J6yvxJMPA0euDFQ6g,I Met Her In The Garden Where The Praties Grow,2.141271354525158,-0.8896408171139355,1
107,4rkLztWpftdp6wJXtwmNWP,I Don't Need You,0.41402004243782,-1.3869007099232658,1
108,4v8CkyrDdgtgqkssZwaDe8,St. Patrick's Day Parade,0.7632962746008739,-1.736898324666865,1
110,4wX1xtFyqlhBMBX7xaOfNB,Avec Le Sourire,1.928155943528057,-0.7708553212951359,1
113,5BOwFPKyqp63iWotfOgxqZ,Colombinella,1.9125702279692463,-0.6303575099948872,1
123,5onW5WGJnE76uwRQN8fo2V,Dans Sa Petite Mansarde,2.3201277366286917,-1.1418938626790285,1
128,6T9dM3UsHEkXv5Q6diEm3r,Return/Gone,0.22082224315230714,-1.0301206087066537,1
129,6YBqmlodT9LcejuGTaIWZC,Beyaz Entarisiyle Kar Gibi Kız,0.17091818174776344,-1.1413395111039077,1
